,location,total_sqft,bath,bhk
1873,Dommasandra,850.0,2.0,2
1874,Dommasandra,674.0,1.0,2
1875,Dommasandra,999.0,2.0,2
1877,EPIP Zone,1285.0,2.0,2
1878,EPIP Zone,2330.0,3.0,3
1879,EPIP Zone,1330.0,2.0,2
1880,EPIP Zone,1330.0,2.0,2
1881,EPIP Zone,1330.0,2.0,2
1883,EPIP Zone,1500.0,3.0,3
1884,EPIP Zone,1280.0,2.0,2
1885,EPIP Zone,1125.0,2.0,2
1886,EPIP Zone,1734.0,3.0,3
1888,EPIP Zone,1343.0,2.0,2
1889,EPIP Zone,2350.0,4.0,3
1890,EPIP Zone,1860.0,3.0,3
1891,EPIP Zone,2210.0,3.0,3
1892,EPIP Zone,2710.0,3.0,3
1895,Electronic City,1025.0,2.0,3
1898,Electronic City,1500.0,2.0,3
1899,Electronic City,1060.0,2.0,2
1900,Electronic City,1152.0,2.0,2
1902,Electronic City,770.0,1.0,2
1903,Electronic City,1070.0,2.0,2
1904,Electronic City,1025.0,2.0,2
1905,Electronic City,589.0,1.0,1
1907,Electronic City,910.0,2.0,2
1908,Electronic City,1108.0,2.0,2
1909,Electronic City,1128.0,2.0,2
1910,Electronic City,1800.0,3.0,3
1911,Electronic City,630.0,1.0,1
1912,Electronic City,1128.0,2.0,2
1913,Electronic City,1599.0,3.0,3
1916,Electronic City,1070.0,2.0,2
1917,Electronic City,940.0,2.0,2
1919,Electronic City,1128.0,2.0,2
1920,Electronic City,1342.0,2.0,2
1921,Electronic City,1360.0,2.0,3
1923,Electronic City,1265.0,2.0,2
1924,Electronic City,1691.0,2.0,3
1925,Electronic City,1128.0,2.0,2
1928,Electronic City,1070.0,2.0,2
1929,Electronic City,2000.0,4.0,4
1930,Electronic City,890.0,2.0,2
1931,Electronic City,1128.0,2.0,2
1932,Electronic City,865.0,2.0,2
1934,Electronic City,910.0,2.0,2
1936,Electronic City,1360.0,2.0,3
1937,Electronic City,770.0,1.0,2
1938,Electronic City,1128.0,2.0,2
1939,Electronic City,1070.0,2.0,2
1941,Electronic City,1571.0,3.0,3
1942,Electronic City,1111.0,3.0,3
1943,Electronic City,870.0,2.0,2
1945,Electronic City,1374.0,2.0,3
1947,Electronic City,1128.0,2.0,2
1948,Electronic City,1128.0,2.0,2
1949,Electronic City,755.0,1.0,2
1953,Electronic City,1563.0,3.0,3
1954,Electronic City,1652.0,3.0,3
1956,Electronic City,1025.0,2.0,2
1958,Electronic City,1350.0,3.0,3
1961,Electronic City,1700.0,3.0,3
1963,Electronic City,1128.0,2.0,2
1964,Electronic City,700.0,1.0,1
1965,Electronic City,1360.0,2.0,3
1967,Electronic City,1571.0,3.0,3
1971,Electronic City,1600.0,3.0,3
1973,Electronic City,1500.0,2.0,3
1977,Electronic City,1152.0,2.0,2
1978,Electronic City,1070.0,2.0,2
1979,Electronic City,1128.0,2.0,2
1980,Electronic City,1200.0,2.0,2
1981,Electronic City,1152.0,2.0,2
1983,Electronic City,1070.0,2.0,2
1984,Electronic City,1060.0,2.0,2
1985,Electronic City,1025.0,2.0,2
1990,Electronic City,1500.0,2.0,3
1991,Electronic City,1213.0,2.0,2
1992,Electronic City,1575.0,3.0,3
1993,Electronic City,435.0,1.0,1
1994,Electronic City,1449.0,3.0,3
1996,Electronic City,1125.0,2.0,2
1998,Electronic City,1575.0,3.0,3
2000,Electronic City,550.0,1.0,1
2001,Electronic City,919.0,2.0,2
2002,Electronic City,1500.0,2.0,3
2003,Electronic City,1363.0,2.0,2
2006,Electronic City,1108.0,2.0,2
2008,Electronic City,1128.0,2.0,2
2010,Electronic City,1060.0,2.0,2
2012,Electronic City,1650.0,3.0,3
2014,Electronic City,1025.0,2.0,2
2016,Electronic City,1449.0,3.0,3
2018,Electronic City,1070.0,2.0,2
2019,Electronic City,1210.0,2.0,2
2020,Electronic City,1500.0,2.0,3
2022,Electronic City,1070.0,2.0,2
2023,Electronic City,2435.0,4.0,4
2028,Electronic City,1073.0,2.0,2
2029,Electronic City,1500.0,2.0,3
2030,Electronic City,1070.0,2.0,2
2031,Electronic City,1296.0,2.0,2
2032,Electronic City,1140.0,2.0,2
2038,Electronic City,2093.0,4.0,4
2039,Electronic City,1025.0,2.0,2
2040,Electronic City,940.0,2.0,2
2041,Electronic City,435.0,1.0,1
2042,Electronic City,1500.0,2.0,3
2043,Electronic City,1631.0,3.0,3
2044,Electronic City,1355.0,2.0,2
2047,Electronic City,435.0,1.0,1
2049,Electronic City,1039.0,2.0,2
2050,Electronic City,770.0,1.0,2
2052,Electronic City,1128.0,2.0,2
2053,Electronic City,605.0,1.0,1
2055,Electronic City,530.0,1.0,1
2056,Electronic City,1070.0,2.0,2
2059,Electronic City,1571.0,3.0,3
2061,Electronic City,1350.0,3.0,3
2062,Electronic City,1652.0,3.0,3
2066,Electronic City,1128.0,2.0,2
2067,Electronic City,635.0,1.0,1
2068,Electronic City,1128.0,2.0,2
2071,Electronic City,1355.0,2.0,2
2075,Electronic City,770.0,1.0,2
2077,Electronic City,865.0,2.0,2
2080,Electronic City,1108.0,2.0,2
2081,Electronic City,630.0,1.0,1
2084,Electronic City,605.0,1.0,1
2086,Electronic City,1070.0,2.0,2
2088,Electronic City,1360.0,2.0,3
2089,Electronic City,635.0,1.0,1
2090,Electronic City,1128.0,2.0,2
2091,Electronic City,890.0,2.0,2
2096,Electronic City,1360.0,2.0,3
2099,Electronic City,630.0,1.0,1
2103,Electronic City,1400.0,3.0,3
2104,Electronic City,1287.0,3.0,3
2105,Electronic City,1258.0,2.0,2
2106,Electronic City,1386.0,2.0,2
2107,Electronic City,550.0,1.0,1
2108,Electronic City,1025.0,2.0,2
2110,Electronic City,1070.0,2.0,2
2111,Electronic City,1342.0,2.0,2
2112,Electronic City,1275.0,3.0,3
2113,Electronic City,770.0,1.0,2
2118,Electronic City,1644.0,3.0,3
2119,Electronic City,1250.0,2.0,2
2122,Electronic City,418.0,1.0,1
2123,Electronic City,1128.0,2.0,2
2126,Electronic City,1060.0,2.0,2
2127,Electronic City,710.0,1.0,1
2130,Electronic City,1275.0,3.0,3
2131,Electronic City,1518.0,3.0,3
2132,Electronic City,1090.0,2.0,1
2135,Electronic City,1060.0,2.0,2
2137,Electronic City,1353.0,2.0,2
2139,Electronic City,1128.0,2.0,2
2140,Electronic City,1070.0,2.0,2
2141,Electronic City,1700.0,3.0,3
2143,Electronic City,750.0,1.0,1
2144,Electronic City,1210.0,2.0,2
2145,Electronic City,1070.0,2.0,2
2150,Electronic City,1615.0,3.0,3
2152,Electronic City,1221.0,2.0,2
2154,Electronic City,1500.0,3.0,3
2155,Electronic City,995.0,2.0,2
2156,Electronic City,1342.0,2.0,2
2158,Electronic City,1128.0,2.0,2
2159,Electronic City,589.0,1.0,1
2162,Electronic City,1575.0,3.0,3
2163,Electronic City,1070.0,2.0,2
2164,Electronic City,1025.0,2.0,2
2165,Electronic City,1500.0,2.0,3
2166,Electronic City,1500.0,2.0,3
2168,Electronic City,2093.0,4.0,4
2170,Electronic City,1355.0,2.0,2
2171,Electronic City,1360.0,2.0,3
2172,Electronic City,1060.0,2.0,2
2173,Electronic City Phase II,1056.0,2.0,2
2174,Electronic City Phase II,1020.0,2.0,2
2175,Electronic City Phase II,1069.0,2.0,2
2176,Electronic City Phase II,630.0,1.0,1
2178,Electronic City Phase II,1000.0,2.0,2
2179,Electronic City Phase II,1090.0,2.0,2
2180,Electronic City Phase II,2225.0,4.0,4
2182,Electronic City Phase II,775.0,2.0,2
2183,Electronic City Phase II,1266.0,2.0,2
2184,Electronic City Phase II,1000.0,2.0,2
2187,Electronic City Phase II,972.0,2.0,2
2189,Electronic City Phase II,1031.0,2.0,2
2190,Electronic City Phase II,1003.0,2.0,2
2191,Electronic City Phase II,1031.0,2.0,2
2193,Electronic City Phase II,1395.0,2.0,3
2194,Electronic City Phase II,1160.0,2.0,2
2195,Electronic City Phase II,1065.0,2.0,2
2196,Electronic City Phase II,1219.0,2.0,2
2198,Electronic City Phase II,1000.0,2.0,2
2199,Electronic City Phase II,1790.0,3.0,3
2200,Electronic City Phase II,769.0,2.0,2
2202,Electronic City Phase II,900.0,2.0,2
2205,Electronic City Phase II,993.0,2.0,3
2206,Electronic City Phase II,1418.0,3.0,3
2207,Electronic City Phase II,1070.0,2.0,2
2210,Electronic City Phase II,1140.0,2.0,2
2211,Electronic City Phase II,1089.0,2.0,2
2212,Electronic City Phase II,1031.0,2.0,2
2213,Electronic City Phase II,1253.0,2.0,2
2215,Electronic City Phase II,1160.0,2.0,2
2216,Electronic City Phase II,975.0,2.0,3
2217,Electronic City Phase II,6000.0,4.0,4
2218,Electronic City Phase II,1116.0,2.0,2
2219,Electronic City Phase II,1125.0,2.0,2
2220,Electronic City Phase II,1000.0,2.0,2
2221,Electronic City Phase II,1000.0,2.0,2
2222,Electronic City Phase II,1000.0,2.0,2
2223,Electronic City Phase II,1165.0,2.0,2
2224,Electronic City Phase II,1031.0,2.0,2
2226,Electronic City Phase II,1065.0,2.0,2
2228,Electronic City Phase II,1549.0,3.0,3
2229,Electronic City Phase II,1065.0,2.0,2
2231,Electronic City Phase II,920.0,2.0,2
2232,Electronic City Phase II,1140.0,2.0,2
2233,Electronic City Phase II,1219.0,2.0,2
2234,Electronic City Phase II,1252.0,2.0,3
2235,Electronic City Phase II,1125.0,2.0,2
2237,Electronic City Phase II,1286.0,2.0,2
2239,Electronic City Phase II,1140.0,2.0,2
2240,Electronic City Phase II,1116.0,2.0,2
2241,Electronic City Phase II,1150.0,3.0,3
2242,Electronic City Phase II,1192.0,2.0,3
2244,Electronic City Phase II,1020.0,2.0,2
2245,Electronic City Phase II,1900.0,3.0,4
2246,Electronic City Phase II,1020.0,2.0,2
2247,Electronic City Phase II,1025.0,2.0,2
2248,Electronic City Phase II,1020.0,2.0,2
2249,Electronic City Phase II,1000.0,2.0,2
2251,Electronic City Phase II,1140.0,2.0,2
2252,Electronic City Phase II,1125.0,2.0,2
2253,Electronic City Phase II,1200.0,2.0,2
2254,Electronic City Phase II,1160.0,2.0,2
2255,Electronic City Phase II,1244.0,2.0,2
2256,Electronic City Phase II,1160.0,2.0,2
2259,Electronic City Phase II,972.0,2.0,2
2260,Electronic City Phase II,1160.0,2.0,2
2262,Electronic City Phase II,1090.0,2.0,2
2263,Electronic City Phase II,1140.0,2.0,2
2264,Electronic City Phase II,650.0,1.0,1
2265,Electronic City Phase II,1155.0,2.0,2
2266,Electronic City Phase II,1800.0,3.0,3
2267,Electronic City Phase II,1300.0,2.0,2
2268,Electronic City Phase II,1160.0,2.0,2
2269,Electronic City Phase II,1025.0,2.0,2
2270,Electronic City Phase II,829.0,2.0,2
2271,Electronic City Phase II,2187.5,4.0,4
2272,Electronic City Phase II,1252.0,2.0,2
2274,Electronic City Phase II,1125.0,2.0,2
2275,Electronic City Phase II,1140.0,2.0,2
2278,Electronic City Phase II,1252.0,2.0,3
2279,Electronic City Phase II,1135.0,2.0,2
2280,Electronic City Phase II,1305.0,3.0,3
2281,Electronic City Phase II,1165.0,2.0,2
2283,Electronic City Phase II,1336.0,2.0,3
2284,Electronic City Phase II,575.0,1.0,1
2285,Electronic City Phase II,925.0,2.0,3
2286,Electronic City Phase II,1065.0,2.0,2
2287,Electronic City Phase II,1065.0,2.0,2
2288,Electronic City Phase II,1140.0,2.0,2
2289,Electronic City Phase II,911.0,2.0,2
2290,Electronic City Phase II,1200.0,2.0,2
2291,Electronic City Phase II,1031.0,2.0,2
2295,Electronics City Phase 1,1475.0,3.0,3
2296,Electronics City Phase 1,1490.0,3.0,3
2297,Electronics City Phase 1,1113.27,2.0,2
2298,Electronics City Phase 1,1490.0,3.0,3
2305,Electronics City Phase 1,1015.0,2.0,2
2307,Electronics City Phase 1,1515.0,2.0,3
2308,Electronics City Phase 1,995.0,2.0,2
2309,Electronics City Phase 1,1555.0,2.0,3
2310,Electronics City Phase 1,1340.0,2.0,2
2311,Electronics City Phase 1,1124.0,2.0,3
2312,Electronics City Phase 1,1175.0,2.0,2
2313,Electronics City Phase 1,755.0,1.0,1
2314,Electronics City Phase 1,580.0,1.0,1
2315,Electronics City Phase 1,940.0,2.0,2
2316,Electronics City Phase 1,1335.0,2.0,2
2317,Electronics City Phase 1,1113.12,2.0,2
2319,Electronics City Phase 1,1350.0,3.0,3
2321,Electronics City Phase 1,995.0,2.0,2
2322,Electronics City Phase 1,635.0,1.0,1
2323,Electronics City Phase 1,1190.0,2.0,2
2325,Electronics City Phase 1,1450.0,3.0,3
2326,Electronics City Phase 1,360.0,1.0,1
2327,Electronics City Phase 1,638.0,1.0,1
2328,Electronics City Phase 1,1175.0,2.0,2
2329,Electronics City Phase 1,585.0,1.0,1
2330,Electronics City Phase 1,1200.0,2.0,2
2331,Electronics City Phase 1,1145.0,2.0,2
2332,Electronics City Phase 1,1125.0,2.0,2
2333,Electronics City Phase 1,1550.0,2.0,3
2335,Electronics City Phase 1,865.0,2.0,2
2339,Electronics City Phase 1,1800.0,3.0,3
2340,Electronics City Phase 1,1314.0,2.0,2
2341,Electronics City Phase 1,1170.0,2.0,2
2342,Electronics City Phase 1,1450.0,3.0,3
2343,Electronics City Phase 1,940.0,2.0,2
2344,Electronics City Phase 1,940.0,2.0,2
2345,Electronics City Phase 1,1300.0,2.0,2
2346,Electronics City Phase 1,1028.0,2.0,2
2348,Electronics City Phase 1,1205.0,2.0,2
2350,Electronics City Phase 1,1305.0,2.0,2
2351,Electronics City Phase 1,755.0,1.0,1
2352,Electronics City Phase 1,1175.0,2.0,2
2353,Frazer Town,1700.0,3.0,3
2354,Frazer Town,1305.0,3.0,3
2355,Frazer Town,1870.0,3.0,3
2356,Frazer Town,1750.0,3.0,3
2358,Frazer Town,2000.0,3.0,3
2359,Frazer Town,3500.0,4.0,3
2360,Frazer Town,2350.0,4.0,3
2361,Frazer Town,1550.0,2.0,2
2362,Frazer Town,1900.0,4.0,3
2363,Frazer Town,2560.0,3.0,3
2364,Frazer Town,2400.0,3.0,3
2365,Frazer Town,2560.0,3.0,3
2366,Frazer Town,3436.0,5.0,4
2368,Frazer Town,1315.0,2.0,2
2369,Frazer Town,1706.0,3.0,3
2370,Frazer Town,2079.0,3.0,3
2371,Frazer Town,3435.0,2.0,4
2372,Frazer Town,3436.0,5.0,4
2373,Frazer Town,3100.0,3.0,3
2374,Frazer Town,5400.0,3.0,3
2375,Frazer Town,1180.0,2.0,2
2376,Frazer Town,2900.0,4.0,4
2377,Frazer Town,1870.0,3.0,3
2378,Frazer Town,896.0,1.0,1
2379,Frazer Town,1420.0,2.0,2
2380,GM Palaya,1820.0,2.0,3
2381,GM Palaya,1225.0,2.0,2
2382,GM Palaya,1140.0,2.0,2
2383,GM Palaya,1315.0,2.0,3
2384,GM Palaya,1315.0,3.0,3
2385,GM Palaya,1315.0,3.0,3
2386,GM Palaya,1735.0,3.0,3
2387,GM Palaya,1643.0,2.0,3
2388,Garudachar Palya,1325.0,2.0,3
2389,Garudachar Palya,1060.0,2.0,2
2390,Garudachar Palya,1150.0,2.0,2
2391,Garudachar Palya,1295.0,2.0,3
2392,Garudachar Palya,1320.0,2.0,3
2393,Garudachar Palya,1295.0,2.0,3
2394,Garudachar Palya,1150.0,2.0,2
2395,Garudachar Palya,1150.0,2.0,2
2396,Garudachar Palya,1060.0,2.0,2
2397,Garudachar Palya,1150.0,2.0,2
2398,Garudachar Palya,1325.0,2.0,3
2399,Garudachar Palya,1060.0,2.0,2
2400,Garudachar Palya,1150.0,2.0,2
2401,Garudachar Palya,1154.0,2.0,2
2403,Giri Nagar,2400.0,4.0,4
2404,Giri Nagar,1800.0,3.0,3
2405,Giri Nagar,1350.0,3.0,3
2406,Giri Nagar,2400.0,4.0,4
2407,Giri Nagar,3000.0,4.0,6
2408,Giri Nagar,2400.0,6.0,6
2409,Giri Nagar,4000.0,3.0,4
2410,Gollarapalya Hosahalli,861.0,2.0,2
2411,Gollarapalya Hosahalli,1408.0,3.0,3
2412,Gollarapalya Hosahalli,861.0,2.0,2
2413,Gollarapalya Hosahalli,1318.0,3.0,3
2414,Gollarapalya Hosahalli,861.0,2.0,2
2415,Gollarapalya Hosahalli,1320.0,3.0,3
2416,Gollarapalya Hosahalli,1345.0,3.0,3
2417,Gollarapalya Hosahalli,1905.0,3.0,4
2418,Gollarapalya Hosahalli,1318.0,3.0,3
2419,Gollarapalya Hosahalli,1129.0,2.0,2
2420,Gottigere,1100.0,2.0,2
2421,Gottigere,967.0,2.0,2
2422,Gottigere,1618.0,3.0,3
2423,Gottigere,1222.0,2.0,2
2425,Gottigere,1300.0,3.0,3
2426,Gottigere,950.0,2.0,2
2427,Gottigere,1153.0,2.0,2
2428,Gottigere,812.0,1.0,1
2430,Gottigere,1460.0,2.0,3
2431,Gottigere,1500.0,3.0,3
2432,Gottigere,1621.0,3.0,3
2433,Gottigere,812.0,1.0,1
2434,Gottigere,990.0,2.0,2
2435,Gottigere,1235.0,2.0,2
2436,Gottigere,1385.0,3.0,3
2437,Gottigere,1000.0,2.0,2
2438,Gottigere,1010.0,2.0,2
2441,Gottigere,1435.0,2.0,3
2442,Gottigere,945.0,2.0,2
2444,Gottigere,2500.0,3.0,4
2445,Gottigere,1230.0,2.0,3
2446,Gottigere,1120.0,2.0,2
2447,Gottigere,1500.0,3.0,3
2448,Gottigere,1200.0,2.0,2
2449,Gottigere,1280.0,2.0,2
2450,Gottigere,1205.0,2.0,2
2451,Gottigere,1170.0,2.0,2
2452,Gottigere,3000.0,3.0,4
2453,Gottigere,1613.0,3.0,3
2454,Gottigere,1110.0,2.0,2
2455,Gottigere,1245.0,2.0,2
2456,Gottigere,1200.0,2.0,2
2457,Green Glen Layout,1670.0,3.0,3
2458,Green Glen Layout,3250.0,4.0,4
2459,Green Glen Layout,1776.42,3.0,3
2460,Green Glen Layout,3250.0,4.0,4
2461,Green Glen Layout,940.0,2.0,2
2462,Green Glen Layout,1075.0,2.0,2
2463,Green Glen Layout,1715.0,3.0,3
2464,Green Glen Layout,1751.0,2.0,3
2465,Green Glen Layout,1750.0,3.0,3
2466,Green Glen Layout,1530.0,3.0,3
2467,Green Glen Layout,1752.0,3.0,3
2468,Green Glen Layout,1680.0,4.0,3
2469,Green Glen Layout,1728.0,3.0,3
2470,Green Glen Layout,1645.0,3.0,3
2471,Green Glen Layout,1517.0,3.0,3
2472,Green Glen Layout,3150.0,4.0,4
2474,Green Glen Layout,1750.0,3.0,3
2475,Green Glen Layout,1751.0,3.0,3
2476,Green Glen Layout,1750.0,3.0,3
2477,Green Glen Layout,1885.0,3.0,3
2478,Green Glen Layout,1715.0,3.0,3
2479,Green Glen Layout,1623.29,2.0,3
2480,Green Glen Layout,1715.0,3.0,3
2481,Green Glen Layout,1715.0,3.0,3
2482,Green Glen Layout,1600.0,3.0,3
2483,Green Glen Layout,1717.0,3.0,3
2484,Green Glen Layout,1250.0,2.0,2
2485,Green Glen Layout,1715.0,3.0,3
2486,Gubbalala,1470.0,2.0,3
2487,Gubbalala,1745.0,3.0,3
2488,Gubbalala,1745.0,3.0,3
2489,Gubbalala,1745.0,3.0,3
2490,Gubbalala,1650.0,3.0,3
2491,Gubbalala,2570.0,4.0,5
2492,Gubbalala,1205.0,2.0,2
2493,Gubbalala,1435.0,2.0,3
2494,Gubbalala,1475.0,2.0,2
2496,Gubbalala,1100.0,2.0,2
2497,Gubbalala,1060.0,2.0,2
2498,Gubbalala,2000.0,3.0,3
2500,Gunjur,1140.0,2.0,2
2501,Gunjur,1356.0,2.0,3
2502,Gunjur,1600.0,3.0,3
2503,Gunjur,2000.0,3.0,4
2504,Gunjur,1140.0,2.0,2
2505,Gunjur,1195.0,2.0,2
2506,Gunjur,1190.0,2.0,2
2507,Gunjur,1457.0,2.0,2
2508,Gunjur,1080.0,2.0,2
2511,Gunjur,1175.0,2.0,2
2512,Gunjur,1362.0,3.0,3
2513,Gunjur,1071.0,2.0,2
2514,Gunjur,1063.0,2.0,2
2515,Gunjur,1235.0,2.0,2
2516,Gunjur,1362.0,3.0,3
2517,Gunjur,1362.0,3.0,3
2518,Gunjur,1588.0,2.0,3
2519,Gunjur,1235.0,2.0,2
2520,Gunjur,1457.0,2.0,2
2521,HAL 2nd Stage,1490.0,2.0,3
2522,HAL 2nd Stage,600.0,3.0,2
2523,HAL 2nd Stage,2700.0,3.0,3
2524,HAL 2nd Stage,2040.0,4.0,5
2525,HBR Layout,2800.0,2.0,3
2526,HBR Layout,1722.0,3.0,3
2527,HBR Layout,1200.0,4.0,4
2528,HBR Layout,1200.0,2.0,2
2529,HBR Layout,1004.0,2.0,2
2530,HBR Layout,1783.0,3.0,3
2531,HBR Layout,1656.0,3.0,3
2532,HBR Layout,1089.0,2.0,2
2533,HBR Layout,1700.0,3.0,3
2534,HBR Layout,1198.0,2.0,2
2535,HBR Layout,1200.0,4.0,4
2536,HBR Layout,1200.0,2.0,2
2537,HBR Layout,1832.0,3.0,3
2538,HRBR Layout,1374.0,2.0,2
2539,HRBR Layout,1440.0,2.0,2
2541,HRBR Layout,2800.0,3.0,3
2542,HRBR Layout,1210.0,2.0,2
2543,HRBR Layout,1265.0,2.0,2
2544,HRBR Layout,1170.0,2.0,2
2546,HRBR Layout,1900.0,3.0,4
2547,HRBR Layout,1625.0,3.0,3
2548,HRBR Layout,1301.0,2.0,2
2549,HRBR Layout,1145.0,2.0,2
2550,HRBR Layout,1300.0,2.0,2
2552,HSR Layout,1372.0,2.0,2
2554,HSR Layout,1475.0,3.0,3
2555,HSR Layout,1467.0,2.0,2
2556,HSR Layout,1140.0,2.0,2
2557,HSR Layout,1372.0,2.0,2
2558,HSR Layout,1750.0,3.0,3
2560,HSR Layout,1027.0,2.0,2
2561,HSR Layout,1650.0,3.0,3
2562,HSR Layout,1140.0,2.0,2
2563,HSR Layout,1372.0,2.0,2
2564,HSR Layout,1140.0,2.0,2
2565,HSR Layout,1185.0,2.0,2
2566,HSR Layout,1127.0,2.0,2
2567,HSR Layout,1600.0,2.0,3
2568,HSR Layout,1145.0,2.0,2
2569,HSR Layout,1009.0,2.0,2
2570,HSR Layout,1300.0,2.0,2
2572,HSR Layout,1140.0,2.0,2
2573,HSR Layout,1126.0,2.0,2
2575,HSR Layout,1140.0,2.0,2
2576,HSR Layout,1145.0,2.0,2
2577,HSR Layout,1142.0,2.0,2
2578,HSR Layout,1145.0,2.0,2
2579,HSR Layout,1844.0,3.0,3
2580,HSR Layout,1203.0,2.0,2
2581,HSR Layout,1140.0,2.0,2
2582,HSR Layout,4200.0,5.0,5
2583,HSR Layout,1140.0,2.0,2
2584,HSR Layout,1145.0,2.0,2
2585,HSR Layout,1009.0,2.0,2
2586,HSR Layout,1145.0,2.0,2
2587,HSR Layout,1100.0,2.0,2
2588,HSR Layout,1203.0,2.0,2
2589,HSR Layout,1120.0,2.0,2
2590,HSR Layout,1140.0,2.0,2
2591,HSR Layout,1289.0,2.0,2
2592,HSR Layout,1844.0,3.0,3
2593,HSR Layout,1203.0,2.0,2
2594,HSR Layout,1140.0,2.0,2
2595,Haralur Road,1240.0,2.0,2
2596,Haralur Road,1027.0,2.0,2
2598,Haralur Road,2650.0,4.0,4
2600,Haralur Road,1194.0,2.0,2
2601,Haralur Road,1202.0,2.0,2
2602,Haralur Road,1056.0,2.0,2
2604,Haralur Road,1810.0,3.0,3
2605,Haralur Road,1194.0,2.0,2
2607,Haralur Road,1225.0,2.0,2
2608,Haralur Road,1243.0,2.0,2
2609,Haralur Road,1027.0,2.0,2
2610,Haralur Road,1920.0,3.0,3
2611,Haralur Road,1875.0,3.0,3
2612,Haralur Road,1194.0,2.0,2
2613,Haralur Road,1140.0,2.0,2
2614,Haralur Road,1027.0,2.0,2
2615,Haralur Road,1194.0,2.0,2
2616,Haralur Road,2017.0,3.0,3
2617,Haralur Road,1140.0,2.0,2
2618,Haralur Road,1875.0,3.0,3
2619,Haralur Road,1092.0,2.0,2
2620,Haralur Road,2475.0,4.0,3
2621,Haralur Road,1300.0,2.0,2
2622,Haralur Road,1194.0,2.0,2
2623,Haralur Road,1243.0,2.0,2
2624,Haralur Road,1850.0,3.0,3
2625,Haralur Road,1225.0,2.0,2
2626,Haralur Road,1243.0,2.0,2
2627,Haralur Road,3400.0,5.0,4
2628,Haralur Road,1464.0,2.0,2
2629,Haralur Road,1230.0,2.0,2
2630,Haralur Road,1000.0,2.0,2
2631,Haralur Road,1300.0,2.0,2
2632,Haralur Road,1444.0,2.0,3
2633,Haralur Road,1088.0,2.0,2
2634,Haralur Road,1027.0,2.0,2
2636,Haralur Road,1225.0,2.0,2
2638,Haralur Road,1194.0,2.0,2
2639,Haralur Road,1830.0,3.0,3
2640,Haralur Road,1810.0,3.0,3
2641,Haralur Road,1464.0,2.0,2
2642,Haralur Road,1520.0,2.0,3
2643,Haralur Road,1300.0,2.0,2
2644,Haralur Road,2017.0,2.0,3
2645,Haralur Road,1243.0,2.0,2
2646,Haralur Road,1027.0,2.0,2
2647,Haralur Road,2805.0,5.0,4
2648,Haralur Road,1243.0,2.0,2
2649,Haralur Road,1027.0,2.0,2
2650,Haralur Road,2017.0,3.0,3
2651,Haralur Road,1243.0,2.0,2
2652,Haralur Road,1243.0,2.0,2
2653,Haralur Road,1520.0,2.0,3
2654,Haralur Road,1300.0,2.0,2
2655,Haralur Road,1985.0,3.0,3
2656,Haralur Road,1255.0,2.0,3
2657,Haralur Road,1056.0,2.0,2
2658,Haralur Road,1140.0,2.0,2
2659,Haralur Road,1245.0,2.0,2
2660,Haralur Road,1140.0,2.0,2
2661,Haralur Road,1140.0,2.0,2
2662,Haralur Road,1027.0,2.0,2
2663,Haralur Road,1194.0,2.0,2
2664,Haralur Road,1194.0,2.0,2
2665,Haralur Road,1560.0,3.0,3
2666,Haralur Road,1520.0,2.0,3
2667,Haralur Road,1243.0,2.0,2
2668,Haralur Road,1027.0,2.0,2
2669,Haralur Road,1194.0,2.0,2
2670,Haralur Road,1650.0,3.0,3
2671,Haralur Road,1580.0,3.0,3
2672,Haralur Road,1243.0,2.0,2
2673,Haralur Road,1194.0,2.0,2
2675,Haralur Road,1520.0,2.0,3
2676,Haralur Road,1510.0,3.0,3
2677,Haralur Road,1056.0,2.0,2
2678,Haralur Road,1810.0,3.0,3
2679,Haralur Road,1243.0,2.0,2
2680,Haralur Road,575.0,1.0,1
2681,Haralur Road,1194.0,2.0,2
2682,Haralur Road,1243.0,2.0,2
2683,Haralur Road,1194.0,2.0,2
2684,Haralur Road,1140.0,2.0,2
2685,Haralur Road,1850.0,3.0,3
2686,Haralur Road,1194.0,2.0,2
2687,Haralur Road,1194.0,2.0,2
2689,Haralur Road,1243.0,2.0,2
2690,Haralur Road,1710.0,3.0,3
2691,Haralur Road,1730.0,3.0,3
2692,Haralur Road,1243.0,2.0,2
2693,Haralur Road,1243.0,2.0,2
2694,Haralur Road,1243.0,2.0,2
2695,Haralur Road,1817.0,3.0,3
2696,Haralur Road,1225.0,2.0,2
2697,Haralur Road,1285.0,2.0,2
2698,Haralur Road,1225.0,2.0,2
2699,Haralur Road,1225.0,2.0,2
2700,Haralur Road,1200.0,2.0,2
2701,Haralur Road,1315.0,2.0,2
2702,Haralur Road,1976.0,3.0,3
2703,Haralur Road,1300.0,2.0,2
2704,Haralur Road,1309.0,2.0,2
2705,Haralur Road,1027.0,1.0,2
2706,Haralur Road,1243.0,2.0,2
2707,Haralur Road,1243.0,2.0,2
2708,Haralur Road,1140.0,2.0,2
2709,Haralur Road,1300.0,2.0,2
2710,Haralur Road,1243.0,2.0,2
2711,Haralur Road,1890.0,3.0,3
2712,Haralur Road,1230.0,2.0,2
2713,Haralur Road,1194.0,2.0,2
2714,Haralur Road,1092.0,2.0,2
2716,Haralur Road,1255.0,3.0,3
2717,Haralur Road,1735.0,3.0,3
